OBS_DATETIME,STATIONCODE,TEMP,HUMI,WSPD,WDIR,WSPD_10,WDIR_10
"2023-07-19 11:35:00",CC,28.5,88,3.6,111,4.3,121
"2023-07-19 11:35:00",CG,29.9,83,0.7,98,1.5,110
"2023-07-19 11:35:00",DC,30.6,78,1.7,110,1.5,116
"2023-07-19 11:35:00",DP,29.6,85,1.9,81,2.5,76
"2023-07-19 11:35:00",EM,30.0,79,2.4,116,3.0,118
"2023-07-19 11:35:00",FM,28.9,83,3.2,102,3.4,101
"2023-07-19 11:35:00",JA,30.0,78,3.1,142,3.2,155
"2023-07-19 11:35:00",KH,30.3,85,2.1,67,2.5,80
"2023-07-19 11:35:00",KV,30.3,84,2.1,70,2.5,84
"2023-07-19 11:35:00",MID,NULL,NULL,4.5,105,4.1,110
"2023-07-19 11:35:00",MM,29.3,83,2.9,125,3.9,110
"2023-07-19 11:35:00",PE,29.8,80,3.0,98,3.7,114
"2023-07-19 11:35:00",PG,NULL,NULL,5.8,103,5.9,105
"2023-07-19 11:35:00",PN,NULL,NULL,4.5,122,4.5,118
"2023-07-19 11:35:00",PN1,NULL,NULL,3.9,119,4.1,117
"2023-07-19 11:35:00",PS,NULL,NULL,4.7,119,5.1,119
"2023-07-19 11:35:00",PS1,NULL,NULL,4.6,113,4.6,114
"2023-07-19 11:35:00",PV,NULL,NULL,4.7,115,5.5,107
"2023-07-19 11:35:00",PV1,NULL,NULL,4.4,120,5.0,113
"2023-07-19 11:35:00",R16,NULL,NULL,4.4,123,4.1,121
"2023-07-19 11:35:00",R34,NULL,NULL,3.8,102,4.1,102
"2023-07-19 11:35:00",TG,28.9,86,3.5,102,3.3,96
"2023-07-19 11:35:00",TV,28.9,87,3.2,116,3.1,109
"2023-07-19 11:35:00",UM,30.0,82,4.5,99,4.8,99
"2023-07-19 11:35:00",ZM,28.6,86,5.1,113,5.5,119
